,Date,Price,Open,High,Low,Volume,%Chg
2404,12-Jul-2005,2220.8,2219.1,2233.2,2191.7,71.61,0.09
2405,03-Oct-2005,2630.05,2601.0,2635.0,2597.2,64.62,1.1
2406,30-May-2005,2072.4,2076.55,2086.85,2064.85,54.67,-0.19
2407,06-Dec-2005,2662.3,2661.4,2694.4,2647.35,56.61,0.07
2408,09-Nov-2005,2489.1,2493.1,2519.4,2475.7,73.9,-0.14
2409,12-Sep-2005,2484.15,2455.85,2486.35,2455.85,44.83,1.17
2410,25-Apr-2005,1970.95,1968.45,1974.2,1952.4,53.65,0.18
2411,24-Nov-2005,2635.0,2608.9,2643.7,2608.7,98.4,1.01
2412,01-Jul-2005,2211.9,2220.45,2220.55,2198.9,54.58,-0.39
2413,30-Dec-2005,2836.55,2823.95,2845.55,2812.75,76.05,0.52
2414,18-Feb-2005,2055.55,2062.45,2076.7,2048.85,63.67,-0.31
2415,05-Jul-2005,2210.75,2231.2,2238.6,2205.1,55.52,-0.89
2416,29-Mar-2005,1983.85,2029.4,2032.65,1971.55,69.69,-2.25
2417,01-Sep-2005,2405.75,2384.7,2412.35,2382.9,59.76,0.88
2418,24-Aug-2005,2322.5,2326.1,2334.9,2300.45,68.32,-0.15
2419,24-Mar-2005,2015.4,2026.6,2042.45,2007.35,70.93,-0.54
2420,11-Aug-2005,2380.9,2358.9,2387.3,2355.5,93.59,0.88
2421,04-Mar-2005,2148.15,2129.1,2152.75,2129.1,78.28,0.91
2422,09-Feb-2005,2070.0,2055.2,2077.7,2055.2,68.24,0.72
2423,21-Mar-2005,2096.6,2117.95,2124.8,2089.35,62.12,-0.6
2424,05-May-2005,1963.3,1942.6,1973.35,1942.05,53.02,1.07
2425,12-Apr-2005,2024.95,2002.75,2027.8,2002.75,35.57,0.83
2426,14-Oct-2005,2484.4,2537.7,2548.0,2478.0,91.43,-2.08
2427,21-Jun-2005,2170.0,2144.75,2173.25,2140.15,68.99,1.2
2428,19-Apr-2005,1909.4,1927.9,1961.15,1902.8,61.37,-0.95
2429,06-May-2005,1977.5,1962.3,1984.4,1947.3,52.72,0.72
2430,22-Dec-2005,2835.25,2826.7,2846.65,2818.65,66.79,0.44
2431,15-Mar-2005,2128.95,2146.55,2151.35,2122.0,60.05,-0.81
2432,15-Jun-2005,2128.65,2110.5,2131.95,2110.35,44.58,0.77
2433,18-Aug-2005,2388.45,2404.65,2426.65,2380.7,63.48,-0.61
2434,12-May-2005,1993.15,1985.95,1999.85,1981.95,36.12,0.36
2435,07-Jan-2005,2015.5,1998.25,2021.45,1992.55,76.29,0.86
2436,31-Mar-2005,2035.65,1994.5,2043.6,1994.5,91.75,2.1
2437,22-Jun-2005,2187.35,2167.8,2196.45,2167.35,87.46,0.8
2438,18-Oct-2005,2468.2,2485.25,2517.7,2452.5,77.32,-0.68
2439,13-Jun-2005,2102.75,2090.7,2106.65,2081.7,38.79,0.58
2440,24-Feb-2005,2055.3,2057.75,2070.5,2052.4,76.5,-0.09
2441,11-Oct-2005,2589.55,2569.15,2592.0,2533.7,71.47,0.88
2442,14-Dec-2005,2804.55,2812.8,2825.65,2788.3,122.65,-0.28
2443,27-Oct-2005,2352.9,2408.95,2416.45,2338.6,125.29,-2.31
2444,18-May-2005,1982.75,1990.65,1990.95,1964.65,51.57,-0.4
2445,02-Sep-2005,2415.8,2406.45,2422.1,2396.1,61.33,0.42
2446,07-Feb-2005,2055.1,2097.45,2098.0,2049.85,62.13,-1.1
2447,13-Oct-2005,2537.3,2584.4,2589.35,2529.05,95.74,-2.02
2448,14-Jun-2005,2112.35,2103.65,2113.85,2098.7,38.61,0.46
2449,04-Feb-2005,2077.95,2079.4,2099.2,2060.8,79.16,-0.07
2450,28-Jun-2005,2169.85,2199.8,2206.8,2165.9,73.42,-1.36
2451,05-Sep-2005,2422.95,2417.1,2439.55,2414.95,50.52,0.3
2452,14-Mar-2005,2146.35,2153.8,2164.15,2140.9,73.87,-0.36
2453,16-Jun-2005,2123.7,2128.3,2135.1,2114.55,65.29,-0.23
2454,07-Oct-2005,2574.05,2577.2,2603.25,2547.55,92.77,-0.2
2455,20-Jun-2005,2144.35,2130.8,2150.25,2124.65,92.37,0.99
2456,19-Oct-2005,2412.45,2467.8,2467.85,2394.95,93.29,-2.26
2457,16-Mar-2005,2125.55,2129.35,2158.9,2121.1,75.51,-0.16
2458,06-Jan-2005,1998.35,2031.55,2035.65,1984.25,94.32,-1.67
2459,20-May-2005,1992.4,1991.85,1998.2,1975.95,41.64,0.08
